"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"21750","LIQUIDCASE","ZERODHAAMC - LIQUIDCASE","EQ","1.0000","1","ETF","E","NSE","124.5300","83.0200","","","963459"
"21986","BANKBETF","BFAM - BANKBETF","EQ","1.0000","1","ETF","E","NSE","60.0600","40.0400","","","1482907"
"21959","NIFTYBETF","BFAM - NIFTYBETF","EQ","1.0000","1","ETF","E","NSE","291.8200","194.5500","","","207993"
"22488","NIFITETF","UTIAMC - NIFITETF","EQ","1.0000","1","ETF","E","NSE","481.4500","320.9600","","","4491"
"22524","NIF10GETF","UTIAMC - NIF10GETF","EQ","1.0000","1","ETF","E","NSE","28.6000","19.0700","","","7969"
"22521","NIF5GETF","UTIAMC - NIF5GETF","EQ","1.0000","1","ETF","E","NSE","69.2500","46.1600","","","4693"
"11593","HDFCSENSEX","HDFCSENSEX","EQ","1.0000","1","ETF","E","NSE","105.4600","70.3100","","","1137704"
"12101","HDFCNIFIT","HDFCAMC - HDFCNIFIT","EQ","1.0000","1","ETF","E","NSE","48.9800","32.6500","","","985796"
"22433","HDFCNIFBAN","HDFCNIFBAN","EQ","1.0000","1","ETF","E","NSE","60.8600","40.5700","","","1971604"
"12108","HDFCPVTBAN","HDFCAMC - HDFCPVTBAN","EQ","1.0000","1","ETF","E","NSE","30.1800","20.1200","","","3975916"
"22592","HEALTHADD","DSPAMC - HEALTHADD","EQ","1.0000","1","ETF","E","NSE","165.8700","110.5800","","","24030"
"22595","HDFCPSUBK","HDFCAMC HDFCPSUBK","EQ","1.0000","1","ETF","E","NSE","81.7800","54.5200","","","105372"
"22722","LICNMID100","LICNAMC - LICNMID100","EQ","1.0000","1","ETF","E","NSE","67.8900","45.2600","","","1767375"
"22832","SMALLCAP","MIRAEAMC - SMALLCAP","EQ","1.0000","1","ETF","E","NSE","60.5100","40.3400","","","1982911"
"17475","NV20IETF","ICICI Prudential NV20 ETF","EQ","1.0000","1","ETF","E","NSE","18.2700","12.1800","","","3269281"
"7844","AUTOIETF","ICICIPRAMC - ICICIAUTO","EQ","1.0000","1","ETF","E","NSE","30.7400","20.4900","","","1093982"
